name,psnr,ssim
EHG0494913__X06__Y0C.jpg,30.703379182547337,0.9636753136017872
EHG0494913__X06__Y0F.jpg,32.558948069779376,0.965110797801275
EHG0494913__X06__Y15.jpg,31.267771217942297,0.9711207128879459
EHG0494913__X06__Y18.jpg,31.167297832232208,0.9637962573037647
EHG0494913__X06__Y1B.jpg,30.43097456724563,0.9731983192030769
EHG0494913__X06__Y1E.jpg,29.9010261387878,0.9671679798093675
EHG0494913__X06__Y21.jpg,30.404972310284744,0.9571585908837713
EHG0494913__X06__Y24.jpg,30.597768429361434,0.9617835589537757
EHG0494913__X06__Y27.jpg,30.770491288931254,0.9630245292775811
EHG0494913__X06__Y2A.jpg,30.294750218569263,0.9579446806070385
EHG0494913__X06__Y2D.jpg,30.28602431642048,0.9625056349791364
EHG0494913__X06__Y30.jpg,30.20175036137511,0.9585133195101796
EHG0494913__X06__Y33.jpg,26.51974451678563,0.9472058586383834
EHG0494913__X06__Y36.jpg,29.557636528207155,0.9727232833611594
EHG0494913__X06__Y39.jpg,29.351015655222437,0.9666675668862911
EHG0494913__X06__Y3C.jpg,28.415806869524616,0.9648809755715745
EHG0494913__X06__Y3F.jpg,29.81652757121781,0.9596409500466628
EHG0494913__X06__Y42.jpg,29.979579133216237,0.9621063873695062
EHG0494913__X09__Y09.jpg,30.787021444132165,0.939847899046332
EHG0494913__X09__Y0C.jpg,31.17511268560068,0.9563415551463501
EHG0494913__X09__Y0F.jpg,31.32584990917892,0.9640275144901292
EHG0494913__X09__Y1B.jpg,30.491073017279366,0.9511074848751856
EHG0494913__X09__Y1E.jpg,25.59284722359177,0.9092069809282141
EHG0494913__X09__Y21.jpg,26.806555464872602,0.9237380417751527
EHG0494913__X09__Y24.jpg,24.365445500932022,0.8814507854089306
EHG0494913__X09__Y27.jpg,22.87641058841522,0.8619914394889117
EHG0494913__X09__Y2A.jpg,24.342367440443,0.8776716800171208
EHG0494913__X09__Y2D.jpg,25.244822837661275,0.8840992945956507
EHG0494913__X09__Y30.jpg,26.665032603018467,0.916544357447114
EHG0494913__X09__Y33.jpg,27.139810224424306,0.9263808979483548
EHG0494913__X09__Y36.jpg,30.42435143261872,0.9601879685099445
EHG0494913__X09__Y39.jpg,29.598240402334678,0.9682791020482518
EHG0494913__X09__Y3C.jpg,30.669174572666996,0.9681090539707404
EHG0494913__X09__Y3F.jpg,31.164831774102595,0.9689879091930332
EHG0494913__X09__Y42.jpg,30.55752770661508,0.9678660277622871
EHG0494913__X09__Y45.jpg,30.52967278399871,0.9657321779640097
EHG0494913__X0C__Y0C.jpg,31.394739725298887,0.9564590104344532
EHG0494913__X0C__Y0F.jpg,31.478765660280537,0.9695483658077984
EHG0494913__X0C__Y12.jpg,24.882985351573012,0.9535582666068818
EHG0494913__X0C__Y15.jpg,30.071280601926603,0.9496027470105399
EHG0494913__X0C__Y18.jpg,28.48558463954705,0.9418667207468405
EHG0494913__X0C__Y1B.jpg,25.843941323538147,0.9035932450425564
EHG0494913__X0C__Y1E.jpg,22.905014127453068,0.8418499113972825
EHG0494913__X0C__Y21.jpg,23.35751838589516,0.8559679725470467
EHG0494913__X0C__Y24.jpg,23.403509142151062,0.843706275396487
EHG0494913__X0C__Y27.jpg,23.44143675355604,0.822253332302781
EHG0494913__X0C__Y2A.jpg,22.071265674594606,0.8063166395176884
EHG0494913__X0C__Y2D.jpg,21.76926297605934,0.791314397339602
EHG0494913__X0C__Y30.jpg,22.118883437419996,0.8128464083867032
EHG0494913__X0C__Y33.jpg,23.27557800991064,0.8617884024552621
EHG0494913__X0C__Y36.jpg,27.698283140214052,0.9287188540295188
EHG0494913__X0C__Y39.jpg,29.347624205794492,0.941957223931594
