name,psnr,ssim
EHG0494889__X06__Y09.jpg,31.38440282060015,0.9573227083014187
EHG0494889__X06__Y12.jpg,26.50357303598808,0.9445603468976503
EHG0494889__X06__Y15.jpg,32.04991729778862,0.9647261947052198
EHG0494889__X06__Y18.jpg,32.022775587267645,0.9656237440563248
EHG0494889__X06__Y1B.jpg,32.143797565313925,0.9462992791438359
EHG0494889__X06__Y1E.jpg,29.658224757970636,0.9617873558589238
EHG0494889__X06__Y21.jpg,33.07750784011626,0.9620214195479814
EHG0494889__X06__Y24.jpg,33.605930486535975,0.9641746784330724
EHG0494889__X06__Y27.jpg,28.599766337722507,0.9490520087700693
EHG0494889__X06__Y2A.jpg,30.944892610064763,0.9432059746041566
EHG0494889__X06__Y2D.jpg,32.1558775260308,0.9646231076397408
EHG0494889__X06__Y30.jpg,31.9931280401753,0.9672352658378891
EHG0494889__X06__Y36.jpg,26.263469971953455,0.944322048387646
EHG0494889__X06__Y3C.jpg,23.553686586653832,0.9320354754086088
EHG0494889__X09__Y09.jpg,32.07000420525273,0.9672947653846786
EHG0494889__X09__Y0C.jpg,32.222049139325534,0.9665932287661333
EHG0494889__X09__Y0F.jpg,23.274662402996533,0.9150934720736381
EHG0494889__X09__Y12.jpg,31.427691986453382,0.9611617619950625
EHG0494889__X09__Y15.jpg,31.266849250032497,0.9727476640346358
EHG0494889__X09__Y18.jpg,31.083297610852938,0.9497705279515566
EHG0494889__X09__Y1B.jpg,23.18274951382665,0.8303470577945957
EHG0494889__X09__Y1E.jpg,29.200449110990498,0.9357707839463634
EHG0494889__X09__Y21.jpg,24.96351880674281,0.9231220061409022
EHG0494889__X09__Y24.jpg,21.26984352418696,0.8347756948733034
EHG0494889__X09__Y27.jpg,27.314823898912838,0.9444010129026745
EHG0494889__X09__Y2A.jpg,25.965161842918718,0.9058491731732999
EHG0494889__X09__Y2D.jpg,25.393646427404704,0.9210996974059947
EHG0494889__X09__Y30.jpg,32.11006550104199,0.9575845453741582
EHG0494889__X09__Y33.jpg,25.529386286727487,0.912101904237748
EHG0494889__X09__Y36.jpg,31.48887204467487,0.9720076415901471
EHG0494889__X09__Y3C.jpg,30.313961161269365,0.9582499028729307
EHG0494889__X09__Y3F.jpg,29.61683351609115,0.9483778859631945
EHG0494889__X09__Y42.jpg,32.41889877430041,0.9578791246532872
EHG0494889__X0C__Y09.jpg,31.415536944651848,0.9509599285500044
EHG0494889__X0C__Y0C.jpg,32.52291971496856,0.9627372500117087
EHG0494889__X0C__Y0F.jpg,33.46564061929295,0.969088152564677
EHG0494889__X0C__Y12.jpg,24.148448899132077,0.9313901118688002
EHG0494889__X0C__Y15.jpg,28.56976609200523,0.9342990909142089
EHG0494889__X0C__Y18.jpg,22.47970444614517,0.9104979480760562
EHG0494889__X0C__Y1B.jpg,23.324665086710908,0.8312503831800029
EHG0494889__X0C__Y1E.jpg,20.60505452357173,0.8315287886455557
EHG0494889__X0C__Y21.jpg,25.55800470598522,0.8957906824169112
EHG0494889__X0C__Y24.jpg,25.543455875181742,0.8883425829810362
EHG0494889__X0C__Y27.jpg,19.376572651259906,0.7476566062829881
EHG0494889__X0C__Y2A.jpg,23.511242754200993,0.848732082606222
EHG0494889__X0C__Y2D.jpg,19.84957867803733,0.8129734528156828
EHG0494889__X0C__Y30.jpg,20.468209917097717,0.7750676697625075
EHG0494889__X0C__Y33.jpg,20.831518289304945,0.8076187315204334
EHG0494889__X0C__Y36.jpg,24.810079853510953,0.8633117372161101
EHG0494889__X0C__Y39.jpg,30.6873877143645,0.9606671161024173
EHG0494889__X0C__Y3C.jpg,31.639777154712057,0.9565718258879102
EHG0494889__X0C__Y3F.jpg,31.84599139585705,0.9642034216587292
EHG0494889__X0C__Y42.jpg,32.17557404872158,0.9630599069596245
EHG0494889__X0C__Y45.jpg,31.731601564489008,0.9568699275318855
EHG0494889__X0F__Y09.jpg,32.878273291187064,0.962372941840816
EHG0494889__X0F__Y0C.jpg,31.783110135999884,0.9718758187804885
EHG0494889__X0F__Y0F.jpg,24.274593203746754,0.9495347733443943
EHG0494889__X0F__Y12.jpg,24.456555363420307,0.9012902626898941
EHG0494889__X0F__Y15.jpg,20.677541280601403,0.8141170046481326
EHG0494889__X0F__Y18.jpg,24.139901429908242,0.881947813463696
EHG0494889__X0F__Y1B.jpg,21.437757614735414,0.8661004521164192
EHG0494889__X0F__Y1E.jpg,21.485308623758307,0.8166807757760701
EHG0494889__X0F__Y21.jpg,20.398730044341207,0.8252245025637867
EHG0494889__X0F__Y24.jpg,18.551869688454317,0.7122690444310454
EHG0494889__X0F__Y27.jpg,20.99104084341233,0.8142533349230889
EHG0494889__X0F__Y2A.jpg,18.49671077625277,0.6846606956426655
EHG0494889__X0F__Y2D.jpg,21.939891751312498,0.8096651606383751
EHG0494889__X0F__Y30.jpg,19.073173312613495,0.7659870139980448
EHG0494889__X0F__Y33.jpg,21.862436468735996,0.8536057993676975
EHG0494889__X0F__Y36.jpg,22.864217980190467,0.8495606046959312
EHG0494889__X0F__Y39.jpg,27.546016085065975,0.9214797538844222
EHG0494889__X0F__Y3C.jpg,32.622543614763096,0.9700738679704021
EHG0494889__X0F__Y3F.jpg,31.44381649336893,0.9708204464590742
EHG0494889__X0F__Y42.jpg,32.39403687407237,0.9639672538368502
EHG0494889__X12__Y0C.jpg,30.27886274416607,0.9680726182234864
EHG0494889__X12__Y0F.jpg,27.331132919747997,0.9536244589694504
EHG0494889__X12__Y12.jpg,20.800181905511206,0.8226682087515672
EHG0494889__X12__Y15.jpg,23.621691061605073,0.9240137961771295
EHG0494889__X12__Y18.jpg,21.399583187599983,0.8768162596173117
EHG0494889__X12__Y1B.jpg,19.636702263805432,0.8297663026117774
EHG0494889__X12__Y1E.jpg,23.685991618698928,0.89982226278547
EHG0494889__X12__Y21.jpg,18.58924784980359,0.8305051400453161
EHG0494889__X12__Y24.jpg,20.23906243298573,0.8553123793626072
EHG0494889__X12__Y27.jpg,21.94234105083089,0.8475424827464624
EHG0494889__X12__Y2A.jpg,20.910587869301487,0.827093426291915
EHG0494889__X12__Y2D.jpg,21.686182350988656,0.8721624155193544
EHG0494889__X12__Y30.jpg,19.771375707002022,0.8053968974704571
EHG0494889__X12__Y33.jpg,16.199913776677228,0.6548305117101969
EHG0494889__X12__Y36.jpg,18.164100158418538,0.8122796925700876
EHG0494889__X12__Y39.jpg,20.64646901934092,0.8362542510373105
EHG0494889__X12__Y3C.jpg,22.556794357051707,0.860672344465753
EHG0494889__X12__Y3F.jpg,29.021659979979813,0.9392205946917701
EHG0494889__X12__Y42.jpg,30.75500067708518,0.9702119628991172
EHG0494889__X15__Y09.jpg,30.997736576686687,0.9713643141046404
EHG0494889__X15__Y0C.jpg,26.20260894000577,0.939595672730712
EHG0494889__X15__Y0F.jpg,19.653080322880776,0.726908246367825
EHG0494889__X15__Y12.jpg,20.99885552155547,0.7995150398186672
EHG0494889__X15__Y15.jpg,22.184788409125655,0.844023042807202
EHG0494889__X15__Y18.jpg,21.458036687333912,0.8258187559944564
EHG0494889__X15__Y1B.jpg,20.49164531769047,0.7873681095070291
EHG0494889__X15__Y1E.jpg,23.11204777345832,0.8760019180570734
EHG0494889__X15__Y21.jpg,19.230797281887256,0.7709453095812074
EHG0494889__X15__Y24.jpg,22.038595140227308,0.8201637405393065
EHG0494889__X15__Y27.jpg,21.14965058452845,0.8378964393580137
EHG0494889__X15__Y2A.jpg,23.187986508353372,0.8013014108153189
EHG0494889__X15__Y2D.jpg,21.27267298563053,0.7946956058824011
EHG0494889__X15__Y30.jpg,22.651778254770463,0.8254261981633036
EHG0494889__X15__Y33.jpg,20.468641334635866,0.8246224768099915
EHG0494889__X15__Y36.jpg,23.383113219916197,0.8568258555911398
EHG0494889__X15__Y39.jpg,21.017630809403936,0.7863094805181627
EHG0494889__X15__Y3C.jpg,21.565796489151627,0.8046748120336117
EHG0494889__X15__Y3F.jpg,28.66199951115224,0.9099610046671098
EHG0494889__X15__Y42.jpg,30.530790708777378,0.9628720588326835
